@T,table ,
Created,2014-05-09 16:55 ,
Author,HortonMachine library ,
date_format,yyyy-MM-dd HH:mm ,
@H,timestamp,value_1
ID,d,86
Type,Date,Double
Format,yyyy-MM-dd HH:mm ,
,2004-06-10 00:00,-9999
,2004-06-10 01:00,-9999
,2004-06-10 02:00,-9999
,2004-06-10 03:00,-9999
,2004-06-10 04:00,-9999
,2004-06-10 05:00,-9999
,2004-06-10 06:00,-9999
,2004-06-10 07:00,-9999
,2004-06-10 08:00,-9999
,2004-06-10 09:00,-9999
,2004-06-10 10:00,-9999
,2004-06-10 11:00,-9999
,2004-06-10 12:00,-9999
,2004-06-10 13:00,-9999
,2004-06-10 14:00,-9999
,2004-06-10 15:00,-9999
,2004-06-10 16:00,-9999
,2004-06-10 17:00,-9999
,2004-06-10 18:00,-9999
,2004-06-10 19:00,-9999
,2004-06-10 20:00,-9999
,2004-06-10 21:00,-9999
,2004-06-10 22:00,-9999
,2004-06-10 23:00,-9999
,2004-06-11 00:00,-9999
,2004-06-11 01:00,-9999
,2004-06-11 02:00,-9999
,2004-06-11 03:00,-9999
,2004-06-11 04:00,-9999
,2004-06-11 05:00,-9999
,2004-06-11 06:00,-9999
,2004-06-11 07:00,-9999
,2004-06-11 08:00,-9999
,2004-06-11 09:00,-9999
,2004-06-11 10:00,-9999
,2004-06-11 11:00,-9999
,2004-06-11 12:00,-9999
,2004-06-11 13:00,-9999
,2004-06-11 14:00,-9999
,2004-06-11 15:00,-9999
,2004-06-11 16:00,-9999
,2004-06-11 17:00,-9999
,2004-06-11 18:00,-9999
,2004-06-11 19:00,-9999
,2004-06-11 20:00,-9999
,2004-06-11 21:00,-9999
,2004-06-11 22:00,-9999
,2004-06-11 23:00,-9999
,2004-06-12 00:00,-9999
,2004-06-12 01:00,-9999
,2004-06-12 02:00,-9999
,2004-06-12 03:00,-9999
,2004-06-12 04:00,-9999
,2004-06-12 05:00,-9999
,2004-06-12 06:00,-9999
,2004-06-12 07:00,-9999
,2004-06-12 08:00,-9999
,2004-06-12 09:00,-9999
,2004-06-12 10:00,-9999
,2004-06-12 11:00,-9999
,2004-06-12 12:00,-9999
,2004-06-12 13:00,-9999
,2004-06-12 14:00,-9999
,2004-06-12 15:00,-9999
,2004-06-12 16:00,-9999
,2004-06-12 17:00,-9999
,2004-06-12 18:00,-9999
,2004-06-12 19:00,-9999
,2004-06-12 20:00,-9999
,2004-06-12 21:00,-9999
,2004-06-12 22:00,-9999
,2004-06-12 23:00,-9999
,2004-06-13 00:00,-9999
,2004-06-13 01:00,-9999
,2004-06-13 02:00,-9999
,2004-06-13 03:00,-9999
,2004-06-13 04:00,-9999
,2004-06-13 05:00,-9999
,2004-06-13 06:00,-9999
,2004-06-13 07:00,-9999
,2004-06-13 08:00,-9999
,2004-06-13 09:00,-9999
,2004-06-13 10:00,-9999
,2004-06-13 11:00,-9999
,2004-06-13 12:00,-9999
,2004-06-13 13:00,-9999
,2004-06-13 14:00,-9999
,2004-06-13 15:00,-9999
,2004-06-13 16:00,-9999
,2004-06-13 17:00,-9999
,2004-06-13 18:00,-9999
,2004-06-13 19:00,-9999
,2004-06-13 20:00,-9999
,2004-06-13 21:00,-9999
,2004-06-13 22:00,-9999
,2004-06-13 23:00,-9999
,2004-06-14 00:00,-9999
,2004-06-14 01:00,-9999
,2004-06-14 02:00,-9999
,2004-06-14 03:00,-9999
,2004-06-14 04:00,5
,2004-06-14 05:00,82.5
,2004-06-14 06:00,258.5
,2004-06-14 07:00,455.5
,2004-06-14 08:00,640.5
,2004-06-14 09:00,635.5
,2004-06-14 10:00,732.5
,2004-06-14 11:00,835
,2004-06-14 12:00,959
,2004-06-14 13:00,931
,2004-06-14 14:00,737
,2004-06-14 15:00,675
,2004-06-14 16:00,204.5
,2004-06-14 17:00,97.5
,2004-06-14 18:00,77
,2004-06-14 19:00,5
,2004-06-14 20:00,-9999
,2004-06-14 21:00,-9999
,2004-06-14 22:00,-9999
,2004-06-14 23:00,-9999
,2004-06-15 00:00,-9999
,2004-06-15 01:00,-9999
,2004-06-15 02:00,-9999
,2004-06-15 03:00,0
,2004-06-15 04:00,0
,2004-06-15 05:00,13.5
,2004-06-15 06:00,95
,2004-06-15 07:00,239
,2004-06-15 08:00,439
,2004-06-15 09:00,651
,2004-06-15 10:00,718
,2004-06-15 11:00,611.5
,2004-06-15 12:00,727
,2004-06-15 13:00,673.5
,2004-06-15 14:00,603.5
,2004-06-15 15:00,527.5
,2004-06-15 16:00,441
,2004-06-15 17:00,93.5
,2004-06-15 18:00,43.5
,2004-06-15 19:00,6
,2004-06-15 20:00,-9999
,2004-06-15 21:00,-9999
,2004-06-15 22:00,-9999
,2004-06-15 23:00,-9999
,2004-06-16 00:00,-9999
,2004-06-16 01:00,-9999
,2004-06-16 02:00,-9999
,2004-06-16 03:00,-9999
,2004-06-16 04:00,4
,2004-06-16 05:00,52
,2004-06-16 06:00,171
,2004-06-16 07:00,366
,2004-06-16 08:00,360
,2004-06-16 09:00,617
,2004-06-16 10:00,721.5
,2004-06-16 11:00,740
,2004-06-16 12:00,824
,2004-06-16 13:00,915.5
,2004-06-16 14:00,701.5
,2004-06-16 15:00,576.5
,2004-06-16 16:00,392
,2004-06-16 17:00,232
,2004-06-16 18:00,74
,2004-06-16 19:00,12
,2004-06-16 20:00,-9999
,2004-06-16 21:00,-9999
,2004-06-16 22:00,-9999
,2004-06-16 23:00,-9999
,2004-06-17 00:00,-9999
,2004-06-17 01:00,0
,2004-06-17 02:00,-9999
,2004-06-17 03:00,-9999
,2004-06-17 04:00,5
,2004-06-17 05:00,73
,2004-06-17 06:00,152
,2004-06-17 07:00,301
,2004-06-17 08:00,196
,2004-06-17 09:00,179
,2004-06-17 10:00,415
,2004-06-17 11:00,393.5
,2004-06-17 12:00,560.5
,2004-06-17 13:00,792
,2004-06-17 14:00,803.5
,2004-06-17 15:00,681.5
,2004-06-17 16:00,397
,2004-06-17 17:00,120
,2004-06-17 18:00,59
,2004-06-17 19:00,14.5
,2004-06-17 20:00,-9999
,2004-06-17 21:00,-9999
,2004-06-17 22:00,-9999
,2004-06-17 23:00,-9999
,2004-06-18 00:00,-9999
,2004-06-18 01:00,-9999
,2004-06-18 02:00,-9999
,2004-06-18 03:00,-9999
,2004-06-18 04:00,3
,2004-06-18 05:00,52
,2004-06-18 06:00,35.5
,2004-06-18 07:00,22
,2004-06-18 08:00,257
,2004-06-18 09:00,489.5
,2004-06-18 10:00,460
,2004-06-18 11:00,601
,2004-06-18 12:00,470
,2004-06-18 13:00,504
,2004-06-18 14:00,565
,2004-06-18 15:00,117.5
,2004-06-18 16:00,150
,2004-06-18 17:00,201.5
,2004-06-18 18:00,58
,2004-06-18 19:00,9.5
,2004-06-18 20:00,-9999
,2004-06-18 21:00,0
,2004-06-18 22:00,0
,2004-06-18 23:00,-9999
,2004-06-19 00:00,-9999
,2004-06-19 01:00,-9999
,2004-06-19 02:00,-9999
,2004-06-19 03:00,-9999
,2004-06-19 04:00,9
,2004-06-19 05:00,87.5
,2004-06-19 06:00,234
,2004-06-19 07:00,459.5
,2004-06-19 08:00,616
,2004-06-19 09:00,807
,2004-06-19 10:00,916
,2004-06-19 11:00,986
,2004-06-19 12:00,894.5
,2004-06-19 13:00,877
,2004-06-19 14:00,803.5
,2004-06-19 15:00,433
,2004-06-19 16:00,411.5
,2004-06-19 17:00,249.5
,2004-06-19 18:00,139.5
,2004-06-19 19:00,19
,2004-06-19 20:00,-9999
,2004-06-19 21:00,-9999
,2004-06-19 22:00,-9999
,2004-06-19 23:00,-9999
,2004-06-20 00:00,-9999
,2004-06-20 01:00,-9999
,2004-06-20 02:00,-9999
,2004-06-20 03:00,-9999
,2004-06-20 04:00,9
,2004-06-20 05:00,78.5
,2004-06-20 06:00,255
,2004-06-20 07:00,459
,2004-06-20 08:00,596.5
,2004-06-20 09:00,700
,2004-06-20 10:00,593
,2004-06-20 11:00,634.5
,2004-06-20 12:00,853.5
,2004-06-20 13:00,706
,2004-06-20 14:00,446.5
,2004-06-20 15:00,352.5
,2004-06-20 16:00,136.5
,2004-06-20 17:00,67.5
,2004-06-20 18:00,94
,2004-06-20 19:00,23
,2004-06-20 20:00,-9999
,2004-06-20 21:00,-9999
,2004-06-20 22:00,-9999
,2004-06-20 23:00,-9999
,2004-06-21 00:00,-9999
,2004-06-21 01:00,-9999
,2004-06-21 02:00,-9999
,2004-06-21 03:00,-9999
,2004-06-21 04:00,5
,2004-06-21 05:00,25
