@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,1.194
,2017-01-01 00:30,1.185
,2017-01-01 00:45,1.152
,2017-01-01 01:00,1.112
,2017-01-01 01:15,0.724
,2017-01-01 01:30,0.884
,2017-01-01 01:45,1.097
,2017-01-01 02:00,0.762
,2017-01-01 02:15,0.913
,2017-01-01 02:30,0.858
,2017-01-01 02:45,0.659
,2017-01-01 03:00,0.269
,2017-01-01 03:15,0.137
,2017-01-01 03:30,0.261
,2017-01-01 03:45,0.404
,2017-01-01 04:00,0.208
,2017-01-01 04:15,0.322
,2017-01-01 04:30,0.094
,2017-01-01 04:45,0.04
,2017-01-01 05:00,0.17
,2017-01-01 05:15,-0.047
,2017-01-01 05:30,-0.361
,2017-01-01 05:45,-0.554
,2017-01-01 06:00,-0.575
,2017-01-01 06:15,-0.55
,2017-01-01 06:30,-0.557
,2017-01-01 06:45,-0.415
,2017-01-01 07:00,-0.329
,2017-01-01 07:15,-0.623
,2017-01-01 07:30,-0.507
,2017-01-01 07:45,-0.334
,2017-01-01 08:00,-0.413
,2017-01-01 08:15,-0.468
,2017-01-01 08:30,-0.657
,2017-01-01 08:45,-0.739
,2017-01-01 09:00,-0.598
,2017-01-01 09:15,-0.404
,2017-01-01 09:30,0.526
,2017-01-01 09:45,1.581
,2017-01-01 10:00,2.136
,2017-01-01 10:15,2.483
,2017-01-01 10:30,3.159
,2017-01-01 10:45,3.015
,2017-01-01 11:00,3.331
,2017-01-01 11:15,3.664
,2017-01-01 11:30,4.13
,2017-01-01 11:45,3.728
,2017-01-01 12:00,3.912
,2017-01-01 12:15,3.773
,2017-01-01 12:30,3.794
,2017-01-01 12:45,3.869
,2017-01-01 13:00,4.071
,2017-01-01 13:15,4.214
,2017-01-01 13:30,4.449
,2017-01-01 13:45,4.653
,2017-01-01 14:00,4.596
,2017-01-01 14:15,4.405
,2017-01-01 14:30,4.685
,2017-01-01 14:45,4.658
,2017-01-01 15:00,4.528
,2017-01-01 15:15,4.48
,2017-01-01 15:30,4.496
,2017-01-01 15:45,4.089
,2017-01-01 16:00,2.714
,2017-01-01 16:15,2.105
,2017-01-01 16:30,1.702
,2017-01-01 16:45,1.574
,2017-01-01 17:00,1.435
,2017-01-01 17:15,1.228
,2017-01-01 17:30,1.055
,2017-01-01 17:45,0.82
,2017-01-01 18:00,0.655
,2017-01-01 18:15,0.688
,2017-01-01 18:30,0.484
,2017-01-01 18:45,0.411
,2017-01-01 19:00,0.482
,2017-01-01 19:15,0.256
,2017-01-01 19:30,0.092
,2017-01-01 19:45,-0.033
,2017-01-01 20:00,-0.074
,2017-01-01 20:15,0.074
,2017-01-01 20:30,-0.019
,2017-01-01 20:45,-0.031
,2017-01-01 21:00,-0.101
,2017-01-01 21:15,-0.174
,2017-01-01 21:30,-0.379
,2017-01-01 21:45,-0.443
,2017-01-01 22:00,-0.625
,2017-01-01 22:15,-0.75
,2017-01-01 22:30,-0.855
,2017-01-01 22:45,-1.019
,2017-01-01 23:00,-1.139
,2017-01-01 23:15,-1.003
,2017-01-01 23:30,-0.948
,2017-01-01 23:45,-0.766
,2017-01-02 00:00,-0.878
,2017-01-02 00:15,-1.035
,2017-01-02 00:30,-1.01
,2017-01-02 00:45,-1.253
,2017-01-02 01:00,-1.335
,2017-01-02 01:15,-1.784
,2017-01-02 01:30,-1.654
,2017-01-02 01:45,-1.451
,2017-01-02 02:00,-1.793
,2017-01-02 02:15,-1.781
,2017-01-02 02:30,-1.654
,2017-01-02 02:45,-1.667
,2017-01-02 03:00,-1.713
,2017-01-02 03:15,-1.624
,2017-01-02 03:30,-1.194
,2017-01-02 03:45,-1.128
,2017-01-02 04:00,-1.271
,2017-01-02 04:15,-1.092
,2017-01-02 04:30,-0.941
,2017-01-02 04:45,-0.607
,2017-01-02 05:00,-0.682
,2017-01-02 05:15,-0.884
,2017-01-02 05:30,-1.021
,2017-01-02 05:45,-0.732
,2017-01-02 06:00,-1.005
,2017-01-02 06:15,-1.299
,2017-01-02 06:30,-1.244
,2017-01-02 06:45,-1.294
,2017-01-02 07:00,-1.665
,2017-01-02 07:15,-1.754
,2017-01-02 07:30,-1.893
,2017-01-02 07:45,-2.501
,2017-01-02 08:00,-2.271
,2017-01-02 08:15,-1.755
,2017-01-02 08:30,-1.939
,2017-01-02 08:45,-1.798
,2017-01-02 09:00,-1.575
,2017-01-02 09:15,-1.574
,2017-01-02 09:30,-0.78
,2017-01-02 09:45,-0.075
,2017-01-02 10:00,0.152
,2017-01-02 10:15,-0.546
,2017-01-02 10:30,-0.39
,2017-01-02 10:45,-0.218
,2017-01-02 11:00,0.086
,2017-01-02 11:15,0.002
,2017-01-02 11:30,-0.36
,2017-01-02 11:45,-0.19
,2017-01-02 12:00,-0.101
,2017-01-02 12:15,0.335
,2017-01-02 12:30,0.385
,2017-01-02 12:45,0.376
,2017-01-02 13:00,0.515
,2017-01-02 13:15,0.474
,2017-01-02 13:30,0.638
,2017-01-02 13:45,0.363
,2017-01-02 14:00,0.097
,2017-01-02 14:15,-0.228
,2017-01-02 14:30,-0.325
,2017-01-02 14:45,-0.074
,2017-01-02 15:00,0.198
,2017-01-02 15:15,0.892
,2017-01-02 15:30,0.611
,2017-01-02 15:45,-0.101
,2017-01-02 16:00,-0.855
,2017-01-02 16:15,-0.844
,2017-01-02 16:30,-0.813
,2017-01-02 16:45,-0.875
,2017-01-02 17:00,-1.043
,2017-01-02 17:15,-1.05
,2017-01-02 17:30,-0.714
,2017-01-02 17:45,-0.704
,2017-01-02 18:00,-0.764
,2017-01-02 18:15,-0.581
,2017-01-02 18:30,-0.206
,2017-01-02 18:45,0.91
,2017-01-02 19:00,2.676
,2017-01-02 19:15,3.714
,2017-01-02 19:30,3.394
,2017-01-02 19:45,3.092
,2017-01-02 20:00,2.818
,2017-01-02 20:15,2.375
,2017-01-02 20:30,2.097
,2017-01-02 20:45,1.78
,2017-01-02 21:00,1.551
,2017-01-02 21:15,1.221
,2017-01-02 21:30,0.893
,2017-01-02 21:45,0.7
