@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,230.1
,2017-01-01 00:30,229.9
,2017-01-01 00:45,230.1
,2017-01-01 01:00,229.4
,2017-01-01 01:15,229
,2017-01-01 01:30,229.2
,2017-01-01 01:45,230
,2017-01-01 02:00,229.1
,2017-01-01 02:15,228.5
,2017-01-01 02:30,228.1
,2017-01-01 02:45,227.7
,2017-01-01 03:00,226.7
,2017-01-01 03:15,226.1
,2017-01-01 03:30,226.5
,2017-01-01 03:45,226.4
,2017-01-01 04:00,226
,2017-01-01 04:15,225.7
,2017-01-01 04:30,225.4
,2017-01-01 04:45,225.2
,2017-01-01 05:00,225.5
,2017-01-01 05:15,224.9
,2017-01-01 05:30,223.7
,2017-01-01 05:45,223.5
,2017-01-01 06:00,223.3
,2017-01-01 06:15,222.9
,2017-01-01 06:30,223
,2017-01-01 06:45,223.2
,2017-01-01 07:00,223.1
,2017-01-01 07:15,222.9
,2017-01-01 07:30,222.9
,2017-01-01 07:45,222.9
,2017-01-01 08:00,222.7
,2017-01-01 08:15,222.4
,2017-01-01 08:30,222.1
,2017-01-01 08:45,222
,2017-01-01 09:00,222.3
,2017-01-01 09:15,221.8
,2017-01-01 09:30,224.7
,2017-01-01 09:45,227.6
,2017-01-01 10:00,230.6
,2017-01-01 10:15,232.6
,2017-01-01 10:30,235.4
,2017-01-01 10:45,236.8
,2017-01-01 11:00,238.5
,2017-01-01 11:15,239.5
,2017-01-01 11:30,241.5
,2017-01-01 11:45,241.8
,2017-01-01 12:00,242.1
,2017-01-01 12:15,242.7
,2017-01-01 12:30,242.2
,2017-01-01 12:45,242.7
,2017-01-01 13:00,244.1
,2017-01-01 13:15,244.7
,2017-01-01 13:30,245.6
,2017-01-01 13:45,245.3
,2017-01-01 14:00,244.6
,2017-01-01 14:15,244.1
,2017-01-01 14:30,243.7
,2017-01-01 14:45,243.2
,2017-01-01 15:00,242.3
,2017-01-01 15:15,241.1
,2017-01-01 15:30,240.5
,2017-01-01 15:45,239.1
,2017-01-01 16:00,235.7
,2017-01-01 16:15,232.6
,2017-01-01 16:30,230.2
,2017-01-01 16:45,229.2
,2017-01-01 17:00,228.8
,2017-01-01 17:15,228
,2017-01-01 17:30,227.3
,2017-01-01 17:45,226.9
,2017-01-01 18:00,226.4
,2017-01-01 18:15,226
,2017-01-01 18:30,225.8
,2017-01-01 18:45,225.3
,2017-01-01 19:00,225.1
,2017-01-01 19:15,225.1
,2017-01-01 19:30,224.8
,2017-01-01 19:45,224.7
,2017-01-01 20:00,224.2
,2017-01-01 20:15,224.2
,2017-01-01 20:30,224
,2017-01-01 20:45,224.1
,2017-01-01 21:00,224.3
,2017-01-01 21:15,224.1
,2017-01-01 21:30,223.7
,2017-01-01 21:45,223.4
,2017-01-01 22:00,223
,2017-01-01 22:15,222.2
,2017-01-01 22:30,222.1
,2017-01-01 22:45,221.6
,2017-01-01 23:00,221.4
,2017-01-01 23:15,221.8
,2017-01-01 23:30,221.8
,2017-01-01 23:45,222
,2017-01-02 00:00,222.1
,2017-01-02 00:15,221.4
,2017-01-02 00:30,221.3
,2017-01-02 00:45,220.6
,2017-01-02 01:00,220.2
,2017-01-02 01:15,219.7
,2017-01-02 01:30,219.9
,2017-01-02 01:45,219.9
,2017-01-02 02:00,219.4
,2017-01-02 02:15,219.6
,2017-01-02 02:30,219.9
,2017-01-02 02:45,220
,2017-01-02 03:00,220.2
,2017-01-02 03:15,220
,2017-01-02 03:30,220.6
,2017-01-02 03:45,220.5
,2017-01-02 04:00,220.3
,2017-01-02 04:15,220.7
,2017-01-02 04:30,221.2
,2017-01-02 04:45,221.4
,2017-01-02 05:00,221.6
,2017-01-02 05:15,221.8
,2017-01-02 05:30,221.4
,2017-01-02 05:45,221.3
,2017-01-02 06:00,221.3
,2017-01-02 06:15,220.5
,2017-01-02 06:30,220.6
,2017-01-02 06:45,220
,2017-01-02 07:00,219.2
,2017-01-02 07:15,219
,2017-01-02 07:30,218.3
,2017-01-02 07:45,217.4
,2017-01-02 08:00,217.9
,2017-01-02 08:15,218.3
,2017-01-02 08:30,218
,2017-01-02 08:45,218.7
,2017-01-02 09:00,218.9
,2017-01-02 09:15,218.2
,2017-01-02 09:30,220
,2017-01-02 09:45,222.5
,2017-01-02 10:00,224.3
,2017-01-02 10:15,225
,2017-01-02 10:30,225.4
,2017-01-02 10:45,227
,2017-01-02 11:00,228.9
,2017-01-02 11:15,230.1
,2017-01-02 11:30,230.3
,2017-01-02 11:45,230.8
,2017-01-02 12:00,231.9
,2017-01-02 12:15,236.8
,2017-01-02 12:30,240.2
,2017-01-02 12:45,240
,2017-01-02 13:00,244.5
,2017-01-02 13:15,244.9
,2017-01-02 13:30,244.5
,2017-01-02 13:45,246.5
,2017-01-02 14:00,250.9
,2017-01-02 14:15,256.5
,2017-01-02 14:30,253.6
,2017-01-02 14:45,254.6
,2017-01-02 15:00,254.8
,2017-01-02 15:15,240.8
,2017-01-02 15:30,231.4
,2017-01-02 15:45,229.2
,2017-01-02 16:00,230.6
,2017-01-02 16:15,240.5
,2017-01-02 16:30,238.6
,2017-01-02 16:45,238.4
,2017-01-02 17:00,252.5
,2017-01-02 17:15,256.4
,2017-01-02 17:30,251.7
,2017-01-02 17:45,265.2
,2017-01-02 18:00,266.6
,2017-01-02 18:15,267.6
,2017-01-02 18:30,272.7
,2017-01-02 18:45,275.4
,2017-01-02 19:00,275.1
,2017-01-02 19:15,269.3
,2017-01-02 19:30,261.9
,2017-01-02 19:45,271
,2017-01-02 20:00,271.5
,2017-01-02 20:15,257.1
,2017-01-02 20:30,262.3
,2017-01-02 20:45,267.9
,2017-01-02 21:00,270.9
,2017-01-02 21:15,271.8
,2017-01-02 21:30,272.7
,2017-01-02 21:45,278.1
,2017-01-02 22:00,283.2
,2017-01-02 22:15,274.5
,2017-01-02 22:30,276.8
,2017-01-02 22:45,273.3
,2017-01-02 23:00,261.3
,2017-01-02 23:15,247.2
,2017-01-02 23:30,254.5
,2017-01-02 23:45,252.1
,2017-01-03 00:00,243.5
