@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,-5.669
,2017-01-01 00:30,-5.674
,2017-01-01 00:45,-5.674
,2017-01-01 01:00,-5.688
,2017-01-01 01:15,-5.713
,2017-01-01 01:30,-5.713
,2017-01-01 01:45,-5.757
,2017-01-01 02:00,-5.776
,2017-01-01 02:15,-5.791
,2017-01-01 02:30,-5.844
,2017-01-01 02:45,-5.849
,2017-01-01 03:00,-5.893
,2017-01-01 03:15,-5.932
,2017-01-01 03:30,-5.966
,2017-01-01 03:45,-6
,2017-01-01 04:00,-6.02
,2017-01-01 04:15,-6.025
,2017-01-01 04:30,-6.044
,2017-01-01 04:45,-6.064
,2017-01-01 05:00,-6.064
,2017-01-01 05:15,-6.064
,2017-01-01 05:30,-6.078
,2017-01-01 05:45,-6.137
,2017-01-01 06:00,-6.137
,2017-01-01 06:15,-6.147
,2017-01-01 06:30,-6.157
,2017-01-01 06:45,-6.176
,2017-01-01 07:00,-6.21
,2017-01-01 07:15,-6.21
,2017-01-01 07:30,-6.22
,2017-01-01 07:45,-6.23
,2017-01-01 08:00,-6.215
,2017-01-01 08:15,-6.235
,2017-01-01 08:30,-6.279
,2017-01-01 08:45,-6.284
,2017-01-01 09:00,-6.303
,2017-01-01 09:15,-6.288
,2017-01-01 09:30,-6.288
,2017-01-01 09:45,-6.283
,2017-01-01 10:00,-6.292
,2017-01-01 10:15,-6.349
,2017-01-01 10:30,-6.348
,2017-01-01 10:45,-6.367
,2017-01-01 11:00,-6.307
,2017-01-01 11:15,-6.312
,2017-01-01 11:30,-6.326
,2017-01-01 11:45,-6.341
,2017-01-01 12:00,-6.345
,2017-01-01 12:15,-6.306
,2017-01-01 12:30,-6.302
,2017-01-01 12:45,-6.219
,2017-01-01 13:00,-6.204
,2017-01-01 13:15,-6.204
,2017-01-01 13:30,-6.199
,2017-01-01 13:45,-6.19
,2017-01-01 14:00,-6.165
,2017-01-01 14:15,-6.122
,2017-01-01 14:30,-6.102
,2017-01-01 14:45,-6.093
,2017-01-01 15:00,-6.063
,2017-01-01 15:15,-6.019
,2017-01-01 15:30,-5.985
,2017-01-01 15:45,-5.956
,2017-01-01 16:00,-5.923
,2017-01-01 16:15,-5.918
,2017-01-01 16:30,-5.864
,2017-01-01 16:45,-5.894
,2017-01-01 17:00,-5.885
,2017-01-01 17:15,-5.856
,2017-01-01 17:30,-5.823
,2017-01-01 17:45,-5.824
,2017-01-01 18:00,-5.765
,2017-01-01 18:15,-5.736
,2017-01-01 18:30,-5.732
,2017-01-01 18:45,-5.771
,2017-01-01 19:00,-5.771
,2017-01-01 19:15,-5.747
,2017-01-01 19:30,-5.698
,2017-01-01 19:45,-5.703
,2017-01-01 20:00,-5.699
,2017-01-01 20:15,-5.723
,2017-01-01 20:30,-5.714
,2017-01-01 20:45,-5.699
,2017-01-01 21:00,-5.699
,2017-01-01 21:15,-5.704
,2017-01-01 21:30,-5.714
,2017-01-01 21:45,-5.723
,2017-01-01 22:00,-5.699
,2017-01-01 22:15,-5.748
,2017-01-01 22:30,-5.772
,2017-01-01 22:45,-5.782
,2017-01-01 23:00,-5.845
,2017-01-01 23:15,-5.86
,2017-01-01 23:30,-5.904
,2017-01-01 23:45,-5.957
,2017-01-02 00:00,-5.986
,2017-01-02 00:15,-6.006
,2017-01-02 00:30,-6.05
,2017-01-02 00:45,-6.084
,2017-01-02 01:00,-6.094
,2017-01-02 01:15,-6.128
,2017-01-02 01:30,-6.137
,2017-01-02 01:45,-6.142
,2017-01-02 02:00,-6.147
,2017-01-02 02:15,-6.206
,2017-01-02 02:30,-6.225
,2017-01-02 02:45,-6.249
,2017-01-02 03:00,-6.259
,2017-01-02 03:15,-6.288
,2017-01-02 03:30,-6.318
,2017-01-02 03:45,-6.303
,2017-01-02 04:00,-6.342
,2017-01-02 04:15,-6.361
,2017-01-02 04:30,-6.405
,2017-01-02 04:45,-6.439
,2017-01-02 05:00,-6.439
,2017-01-02 05:15,-6.469
,2017-01-02 05:30,-6.473
,2017-01-02 05:45,-6.478
,2017-01-02 06:00,-6.551
,2017-01-02 06:15,-6.561
,2017-01-02 06:30,-6.527
,2017-01-02 06:45,-6.522
,2017-01-02 07:00,-6.561
,2017-01-02 07:15,-6.581
,2017-01-02 07:30,-6.649
,2017-01-02 07:45,-6.659
,2017-01-02 08:00,-6.698
,2017-01-02 08:15,-6.737
,2017-01-02 08:30,-6.795
,2017-01-02 08:45,-6.868
,2017-01-02 09:00,-6.917
,2017-01-02 09:15,-6.951
,2017-01-02 09:30,-7
,2017-01-02 09:45,-7.014
,2017-01-02 10:00,-7.096
,2017-01-02 10:15,-7.173
,2017-01-02 10:30,-7.205
,2017-01-02 10:45,-7.268
,2017-01-02 11:00,-7.335
,2017-01-02 11:15,-7.325
,2017-01-02 11:30,-7.412
,2017-01-02 11:45,-7.456
,2017-01-02 12:00,-7.46
,2017-01-02 12:15,-7.479
,2017-01-02 12:30,-7.474
,2017-01-02 12:45,-7.465
,2017-01-02 13:00,-7.445
,2017-01-02 13:15,-7.513
,2017-01-02 13:30,-7.635
,2017-01-02 13:45,-7.494
,2017-01-02 14:00,-7.431
,2017-01-02 14:15,-7.358
,2017-01-02 14:30,-7.28
,2017-01-02 14:45,-7.256
,2017-01-02 15:00,-7.227
,2017-01-02 15:15,-7.126
,2017-01-02 15:30,-7.014
,2017-01-02 15:45,-6.917
,2017-01-02 16:00,-6.805
,2017-01-02 16:15,-6.742
,2017-01-02 16:30,-6.65
,2017-01-02 16:45,-6.533
,2017-01-02 17:00,-6.437
,2017-01-02 17:15,-6.33
,2017-01-02 17:30,-6.252
,2017-01-02 17:45,-6.228
,2017-01-02 18:00,-6.151
,2017-01-02 18:15,-6.107
,2017-01-02 18:30,-6.044
,2017-01-02 18:45,-6.005
,2017-01-02 19:00,-5.942
,2017-01-02 19:15,-5.908
,2017-01-02 19:30,-5.883
,2017-01-02 19:45,-5.878
,2017-01-02 20:00,-5.843
,2017-01-02 20:15,-5.824
,2017-01-02 20:30,-5.78
