@T,table,
Created,2018-11-27 16:23,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,0
,2017-01-01 00:30,0
,2017-01-01 00:45,0
,2017-01-01 01:00,0
,2017-01-01 01:15,0
,2017-01-01 01:30,0
,2017-01-01 01:45,0
,2017-01-01 02:00,0
,2017-01-01 02:15,0
,2017-01-01 02:30,0
,2017-01-01 02:45,0
,2017-01-01 03:00,0
,2017-01-01 03:15,0
,2017-01-01 03:30,0
,2017-01-01 03:45,0
,2017-01-01 04:00,0
,2017-01-01 04:15,0
,2017-01-01 04:30,0
,2017-01-01 04:45,0
,2017-01-01 05:00,0
,2017-01-01 05:15,0
,2017-01-01 05:30,0
,2017-01-01 05:45,0
,2017-01-01 06:00,0
,2017-01-01 06:15,0
,2017-01-01 06:30,0
,2017-01-01 06:45,0
,2017-01-01 07:00,0
,2017-01-01 07:15,0
,2017-01-01 07:30,0
,2017-01-01 07:45,0
,2017-01-01 08:00,0
,2017-01-01 08:15,0.029642026
,2017-01-01 08:30,0.062955656
,2017-01-01 08:45,0.0914792401
,2017-01-01 09:00,0.1129138598
,2017-01-01 09:15,0.1390242936
,2017-01-01 09:30,0.156961411
,2017-01-01 09:45,0.1734577607
,2017-01-01 10:00,0.1834409061
,2017-01-01 10:15,0.1903459621
,2017-01-01 10:30,0.1976947838
,2017-01-01 10:45,0.2052651198
,2017-01-01 11:00,0.2141518505
,2017-01-01 11:15,0.2209252487
,2017-01-01 11:30,0.2210264502
,2017-01-01 11:45,0.2199177354
,2017-01-01 12:00,0.2199394013
,2017-01-01 12:15,0.21781791
,2017-01-01 12:30,0.2162444383
,2017-01-01 12:45,0.2168725725
,2017-01-01 13:00,0.2167906565
,2017-01-01 13:15,0.215725003
,2017-01-01 13:30,0.2151690287
,2017-01-01 13:45,0.2133756259
,2017-01-01 14:00,0.2082098038
,2017-01-01 14:15,0.2008851812
,2017-01-01 14:30,0.1934695386
,2017-01-01 14:45,0.1862019795
,2017-01-01 15:00,0.1790794466
,2017-01-01 15:15,0.1765943711
,2017-01-01 15:30,0.1736899097
,2017-01-01 15:45,0.1489922278
,2017-01-01 16:00,0.1163889219
,2017-01-01 16:15,0.0942918289
,2017-01-01 16:30,0.0641662885
,2017-01-01 16:45,0
,2017-01-01 17:00,0
,2017-01-01 17:15,0
,2017-01-01 17:30,0
,2017-01-01 17:45,0
,2017-01-01 18:00,0
,2017-01-01 18:15,0
,2017-01-01 18:30,0
,2017-01-01 18:45,0
,2017-01-01 19:00,0
,2017-01-01 19:15,0
,2017-01-01 19:30,0
,2017-01-01 19:45,0
,2017-01-01 20:00,0
,2017-01-01 20:15,0
,2017-01-01 20:30,0
,2017-01-01 20:45,0
,2017-01-01 21:00,0
,2017-01-01 21:15,0
,2017-01-01 21:30,0
,2017-01-01 21:45,0
,2017-01-01 22:00,0
,2017-01-01 22:15,0
,2017-01-01 22:30,0
,2017-01-01 22:45,0
,2017-01-01 23:00,0
,2017-01-01 23:15,0
,2017-01-01 23:30,0
,2017-01-01 23:45,0
,2017-01-02 00:00,0
,2017-01-02 00:15,0
,2017-01-02 00:30,0
,2017-01-02 00:45,0
,2017-01-02 01:00,0
,2017-01-02 01:15,0
,2017-01-02 01:30,0
,2017-01-02 01:45,0
,2017-01-02 02:00,0
,2017-01-02 02:15,0
,2017-01-02 02:30,0
,2017-01-02 02:45,0
,2017-01-02 03:00,0
,2017-01-02 03:15,0
,2017-01-02 03:30,0
,2017-01-02 03:45,0
,2017-01-02 04:00,0
,2017-01-02 04:15,0
,2017-01-02 04:30,0
,2017-01-02 04:45,0
,2017-01-02 05:00,0
,2017-01-02 05:15,0
,2017-01-02 05:30,0
,2017-01-02 05:45,0
,2017-01-02 06:00,0
,2017-01-02 06:15,0
,2017-01-02 06:30,0
,2017-01-02 06:45,0
,2017-01-02 07:00,0
,2017-01-02 07:15,0
,2017-01-02 07:30,0
,2017-01-02 07:45,0
,2017-01-02 08:00,0
,2017-01-02 08:15,0.030232875
,2017-01-02 08:30,0.0630547476
,2017-01-02 08:45,0.0917711751
,2017-01-02 09:00,0.113644714
,2017-01-02 09:15,0.1405142839
,2017-01-02 09:30,0.1591516241
,2017-01-02 09:45,0.1758882722
,2017-01-02 10:00,0.1869882048
,2017-01-02 10:15,0.1934440811
,2017-01-02 10:30,0.2009349656
,2017-01-02 10:45,0.209268337
,2017-01-02 11:00,0.2185355134
,2017-01-02 11:15,0.2254478547
,2017-01-02 11:30,0.2258778469
,2017-01-02 11:45,0.2265247042
,2017-01-02 12:00,0.2314179403
,2017-01-02 12:15,0.2734570229
,2017-01-02 12:30,0.3049082908
,2017-01-02 12:45,0.3173786861
,2017-01-02 13:00,0.3740729336
,2017-01-02 13:15,0.3766916242
,2017-01-02 13:30,0.3852441177
,2017-01-02 13:45,0.4022368197
,2017-01-02 14:00,0.4136528925
,2017-01-02 14:15,0.3877176284
,2017-01-02 14:30,0.3728700491
,2017-01-02 14:45,0.3632135392
,2017-01-02 15:00,0.3483078648
,2017-01-02 15:15,0.3100549415
,2017-01-02 15:30,0.1944737629
,2017-01-02 15:45,0.1725455375
,2017-01-02 16:00,0.1644553324
,2017-01-02 16:15,0.1238542778
,2017-01-02 16:30,0.056733224
,2017-01-02 16:45,0
,2017-01-02 17:00,0
,2017-01-02 17:15,0
,2017-01-02 17:30,0
,2017-01-02 17:45,0
,2017-01-02 18:00,0
,2017-01-02 18:15,0
,2017-01-02 18:30,0
,2017-01-02 18:45,0
,2017-01-02 19:00,0
,2017-01-02 19:15,0
,2017-01-02 19:30,0
,2017-01-02 19:45,0
,2017-01-02 20:00,0
,2017-01-02 20:15,0
,2017-01-02 20:30,0
,2017-01-02 20:45,0
,2017-01-02 21:00,0
,2017-01-02 21:15,0
,2017-01-02 21:30,0
,2017-01-02 21:45,0
,2017-01-02 22:00,0
,2017-01-02 22:15,0
,2017-01-02 22:30,0
,2017-01-02 22:45,0
,2017-01-02 23:00,0
,2017-01-02 23:15,0
,2017-01-02 23:30,0
,2017-01-02 23:45,0
,2017-01-03 00:00,0
,2017-01-03 00:15,0
,2017-01-03 00:30,0
,2017-01-03 00:45,0
,2017-01-03 01:00,0
,2017-01-03 01:15,0
,2017-01-03 01:30,0
,2017-01-03 01:45,0
,2017-01-03 02:00,0
,2017-01-03 02:15,0
,2017-01-03 02:30,0
,2017-01-03 02:45,0
,2017-01-03 03:00,0
,2017-01-03 03:15,0
,2017-01-03 03:30,0
,2017-01-03 03:45,0
,2017-01-03 04:00,0
,2017-01-03 04:15,0
,2017-01-03 04:30,0
,2017-01-03 04:45,0
,2017-01-03 05:00,0
,2017-01-03 05:15,0
