@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,28.38
,2017-01-01 00:30,27.57
,2017-01-01 00:45,28.46
,2017-01-01 01:00,29.48
,2017-01-01 01:15,28.66
,2017-01-01 01:30,27.71
,2017-01-01 01:45,27.71
,2017-01-01 02:00,29.07
,2017-01-01 02:15,28.46
,2017-01-01 02:30,29.45
,2017-01-01 02:45,28.87
,2017-01-01 03:00,29.79
,2017-01-01 03:15,29.96
,2017-01-01 03:30,29.14
,2017-01-01 03:45,29.18
,2017-01-01 04:00,29.55
,2017-01-01 04:15,29.45
,2017-01-01 04:30,29.86
,2017-01-01 04:45,28.7
,2017-01-01 05:00,29.86
,2017-01-01 05:15,29.93
,2017-01-01 05:30,30.58
,2017-01-01 05:45,31.3
,2017-01-01 06:00,30.34
,2017-01-01 06:15,30.61
,2017-01-01 06:30,31.02
,2017-01-01 06:45,29.14
,2017-01-01 07:00,30.37
,2017-01-01 07:15,30.95
,2017-01-01 07:30,30.27
,2017-01-01 07:45,29.79
,2017-01-01 08:00,29.52
,2017-01-01 08:15,30.13
,2017-01-01 08:30,31.33
,2017-01-01 08:45,30.24
,2017-01-01 09:00,30.89
,2017-01-01 09:15,30.85
,2017-01-01 09:30,29.35
,2017-01-01 09:45,25.92
,2017-01-01 10:00,24.01
,2017-01-01 10:15,25.78
,2017-01-01 10:30,26.59
,2017-01-01 10:45,27.64
,2017-01-01 11:00,27.4
,2017-01-01 11:15,24.68
,2017-01-01 11:30,28.12
,2017-01-01 11:45,27.34
,2017-01-01 12:00,31.57
,2017-01-01 12:15,28.46
,2017-01-01 12:30,27.13
,2017-01-01 12:45,27.54
,2017-01-01 13:00,26.04
,2017-01-01 13:15,27.13
,2017-01-01 13:30,28.02
,2017-01-01 13:45,25.73
,2017-01-01 14:00,27.37
,2017-01-01 14:15,28.29
,2017-01-01 14:30,27.71
,2017-01-01 14:45,28.22
,2017-01-01 15:00,27.98
,2017-01-01 15:15,26.96
,2017-01-01 15:30,26.86
,2017-01-01 15:45,26.59
,2017-01-01 16:00,28.67
,2017-01-01 16:15,26.18
,2017-01-01 16:30,26.29
,2017-01-01 16:45,25.34
,2017-01-01 17:00,27.38
,2017-01-01 17:15,27.42
,2017-01-01 17:30,27.83
,2017-01-01 17:45,27.73
,2017-01-01 18:00,26.81
,2017-01-01 18:15,27.09
,2017-01-01 18:30,26.71
,2017-01-01 18:45,27.77
,2017-01-01 19:00,27.88
,2017-01-01 19:15,28.67
,2017-01-01 19:30,28.94
,2017-01-01 19:45,29.62
,2017-01-01 20:00,28.56
,2017-01-01 20:15,28.7
,2017-01-01 20:30,29.25
,2017-01-01 20:45,29.11
,2017-01-01 21:00,29.42
,2017-01-01 21:15,30.48
,2017-01-01 21:30,30.95
,2017-01-01 21:45,31.13
,2017-01-01 22:00,31.71
,2017-01-01 22:15,32.08
,2017-01-01 22:30,32.18
,2017-01-01 22:45,34.06
,2017-01-01 23:00,33.55
,2017-01-01 23:15,33.72
,2017-01-01 23:30,32.05
,2017-01-01 23:45,32.08
,2017-01-02 00:00,32.15
,2017-01-02 00:15,33.31
,2017-01-02 00:30,33.62
,2017-01-02 00:45,33.86
,2017-01-02 01:00,36.18
,2017-01-02 01:15,35.67
,2017-01-02 01:30,35.12
,2017-01-02 01:45,35.46
,2017-01-02 02:00,35.97
,2017-01-02 02:15,35.46
,2017-01-02 02:30,35.26
,2017-01-02 02:45,37.27
,2017-01-02 03:00,35.7
,2017-01-02 03:15,36.04
,2017-01-02 03:30,32.87
,2017-01-02 03:45,34.64
,2017-01-02 04:00,33.21
,2017-01-02 04:15,32.9
,2017-01-02 04:30,32.22
,2017-01-02 04:45,31.4
,2017-01-02 05:00,31.64
,2017-01-02 05:15,31.71
,2017-01-02 05:30,31.06
,2017-01-02 05:45,31.53
,2017-01-02 06:00,31.67
,2017-01-02 06:15,33.72
,2017-01-02 06:30,30.65
,2017-01-02 06:45,31.16
,2017-01-02 07:00,32.08
,2017-01-02 07:15,32.76
,2017-01-02 07:30,33.75
,2017-01-02 07:45,33.69
,2017-01-02 08:00,30.68
,2017-01-02 08:15,31.13
,2017-01-02 08:30,30.38
,2017-01-02 08:45,31.2
,2017-01-02 09:00,30.51
,2017-01-02 09:15,29.42
,2017-01-02 09:30,33.31
,2017-01-02 09:45,31.19
,2017-01-02 10:00,35.14
,2017-01-02 10:15,37.59
,2017-01-02 10:30,38.37
,2017-01-02 10:45,36.96
,2017-01-02 11:00,36.04
,2017-01-02 11:15,36.34
,2017-01-02 11:30,39.48
,2017-01-02 11:45,38.35
,2017-01-02 12:00,39.17
,2017-01-02 12:15,39.51
,2017-01-02 12:30,38.35
,2017-01-02 12:45,36.44
,2017-01-02 13:00,35.76
,2017-01-02 13:15,34.6
,2017-01-02 13:30,36.99
,2017-01-02 13:45,40.64
,2017-01-02 14:00,40.74
,2017-01-02 14:15,40.74
,2017-01-02 14:30,42.18
,2017-01-02 14:45,40.34
,2017-01-02 15:00,37.48
,2017-01-02 15:15,33.62
,2017-01-02 15:30,34.89
,2017-01-02 15:45,35.84
,2017-01-02 16:00,35.61
,2017-01-02 16:15,38.06
,2017-01-02 16:30,35.99
,2017-01-02 16:45,34.62
,2017-01-02 17:00,33.09
,2017-01-02 17:15,34.12
,2017-01-02 17:30,32.34
,2017-01-02 17:45,33.81
,2017-01-02 18:00,34.33
,2017-01-02 18:15,33.88
,2017-01-02 18:30,27.95
,2017-01-02 18:45,23.64
,2017-01-02 19:00,19.89
,2017-01-02 19:15,19.34
,2017-01-02 19:30,20.12
,2017-01-02 19:45,20.16
,2017-01-02 20:00,22.75
,2017-01-02 20:15,24.11
,2017-01-02 20:30,25.79
,2017-01-02 20:45,27.25
,2017-01-02 21:00,29.61
,2017-01-02 21:15,32.85
,2017-01-02 21:30,34.35
,2017-01-02 21:45,36.81
,2017-01-02 22:00,37.49
,2017-01-02 22:15,39.23
,2017-01-02 22:30,39.37
,2017-01-02 22:45,41.76
,2017-01-02 23:00,43.88
,2017-01-02 23:15,44.29
