@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,0.341
,2017-01-01 00:30,0.341
,2017-01-01 00:45,0.341
,2017-01-01 01:00,0.341
,2017-01-01 01:15,0.341
,2017-01-01 01:30,0.341
,2017-01-01 01:45,0.341
,2017-01-01 02:00,0.341
,2017-01-01 02:15,0.341
,2017-01-01 02:30,0.341
,2017-01-01 02:45,0.341
,2017-01-01 03:00,0.341
,2017-01-01 03:15,0.341
,2017-01-01 03:30,0.341
,2017-01-01 03:45,0.341
,2017-01-01 04:00,0.341
,2017-01-01 04:15,0.341
,2017-01-01 04:30,0.341
,2017-01-01 04:45,0.341
,2017-01-01 05:00,0.341
,2017-01-01 05:15,0.341
,2017-01-01 05:30,0.341
,2017-01-01 05:45,0.341
,2017-01-01 06:00,0.341
,2017-01-01 06:15,0.341
,2017-01-01 06:30,0.341
,2017-01-01 06:45,0.341
,2017-01-01 07:00,0.341
,2017-01-01 07:15,0.341
,2017-01-01 07:30,0.341
,2017-01-01 07:45,0.341
,2017-01-01 08:00,2.094
,2017-01-01 08:15,11.36
,2017-01-01 08:30,25.63
,2017-01-01 08:45,39.31
,2017-01-01 09:00,50.72
,2017-01-01 09:15,56.93
,2017-01-01 09:30,59.53
,2017-01-01 09:45,64.2
,2017-01-01 10:00,65.17
,2017-01-01 10:15,64.65
,2017-01-01 10:30,64.91
,2017-01-01 10:45,65.49
,2017-01-01 11:00,65.08
,2017-01-01 11:15,65.08
,2017-01-01 11:30,61.64
,2017-01-01 11:45,58.75
,2017-01-01 12:00,59.44
,2017-01-01 12:15,58.94
,2017-01-01 12:30,57.39
,2017-01-01 12:45,57.07
,2017-01-01 13:00,56.91
,2017-01-01 13:15,58.05
,2017-01-01 13:30,60.37
,2017-01-01 13:45,61.03
,2017-01-01 14:00,61.35
,2017-01-01 14:15,61.14
,2017-01-01 14:30,60.87
,2017-01-01 14:45,60.25
,2017-01-01 15:00,61.78
,2017-01-01 15:15,66.94
,2017-01-01 15:30,70.15
,2017-01-01 15:45,64.6
,2017-01-01 16:00,51.23
,2017-01-01 16:15,39.56
,2017-01-01 16:30,25.38
,2017-01-01 16:45,10.6
,2017-01-01 17:00,1.797
,2017-01-01 17:15,0.341
,2017-01-01 17:30,0.341
,2017-01-01 17:45,0.341
,2017-01-01 18:00,0.341
,2017-01-01 18:15,0.341
,2017-01-01 18:30,0.341
,2017-01-01 18:45,0.341
,2017-01-01 19:00,0.341
,2017-01-01 19:15,0.341
,2017-01-01 19:30,0.341
,2017-01-01 19:45,0.341
,2017-01-01 20:00,0.341
,2017-01-01 20:15,0.341
,2017-01-01 20:30,0.341
,2017-01-01 20:45,0.341
,2017-01-01 21:00,0.341
,2017-01-01 21:15,0.341
,2017-01-01 21:30,0.341
,2017-01-01 21:45,0.341
,2017-01-01 22:00,0.341
,2017-01-01 22:15,0.341
,2017-01-01 22:30,0.341
,2017-01-01 22:45,0.341
,2017-01-01 23:00,0.341
,2017-01-01 23:15,0.341
,2017-01-01 23:30,0.341
,2017-01-01 23:45,0.341
,2017-01-02 00:00,0.341
,2017-01-02 00:15,0.341
,2017-01-02 00:30,0.341
,2017-01-02 00:45,0.341
,2017-01-02 01:00,0.341
,2017-01-02 01:15,0.341
,2017-01-02 01:30,0.341
,2017-01-02 01:45,0.341
,2017-01-02 02:00,0.341
,2017-01-02 02:15,0.341
,2017-01-02 02:30,0.341
,2017-01-02 02:45,0.341
,2017-01-02 03:00,0.341
,2017-01-02 03:15,0.341
,2017-01-02 03:30,0.341
,2017-01-02 03:45,0.341
,2017-01-02 04:00,0.341
,2017-01-02 04:15,0.341
,2017-01-02 04:30,0.341
,2017-01-02 04:45,0.341
,2017-01-02 05:00,0.341
,2017-01-02 05:15,0.341
,2017-01-02 05:30,0.341
,2017-01-02 05:45,0.341
,2017-01-02 06:00,0.341
,2017-01-02 06:15,0.341
,2017-01-02 06:30,0.341
,2017-01-02 06:45,0.341
,2017-01-02 07:00,0.341
,2017-01-02 07:15,0.341
,2017-01-02 07:30,0.341
,2017-01-02 07:45,0.341
,2017-01-02 08:00,2.14
,2017-01-02 08:15,11.59
,2017-01-02 08:30,25.68
,2017-01-02 08:45,39.45
,2017-01-02 09:00,51.09
,2017-01-02 09:15,58.1
,2017-01-02 09:30,61.17
,2017-01-02 09:45,66.17
,2017-01-02 10:00,68.18
,2017-01-02 10:15,67.59
,2017-01-02 10:30,68.2
,2017-01-02 10:45,69.24
,2017-01-02 11:00,69.27
,2017-01-02 11:15,69.97
,2017-01-02 11:30,66.99
,2017-01-02 11:45,65.35
,2017-01-02 12:00,69.21
,2017-01-02 12:15,103.5
,2017-01-02 12:30,133.6
,2017-01-02 12:45,152.3
,2017-01-02 13:00,214.7
,2017-01-02 13:15,224.8
,2017-01-02 13:30,235.9
,2017-01-02 13:45,268.3
,2017-01-02 14:00,294.8
,2017-01-02 14:15,270.8
,2017-01-02 14:30,252.9
,2017-01-02 14:45,238.4
,2017-01-02 15:00,218.9
,2017-01-02 15:15,171
,2017-01-02 15:30,92.4
,2017-01-02 15:45,81.2
,2017-01-02 16:00,76.66
,2017-01-02 16:15,53.8
,2017-01-02 16:30,22.27
,2017-01-02 16:45,6.393
,2017-01-02 17:00,0.887
,2017-01-02 17:15,0.341
,2017-01-02 17:30,0.341
,2017-01-02 17:45,0.341
,2017-01-02 18:00,0.341
,2017-01-02 18:15,0.341
,2017-01-02 18:30,0.341
,2017-01-02 18:45,0.341
,2017-01-02 19:00,0.341
,2017-01-02 19:15,0.341
,2017-01-02 19:30,0.341
,2017-01-02 19:45,0.341
,2017-01-02 20:00,0.341
,2017-01-02 20:15,0.341
,2017-01-02 20:30,0.341
,2017-01-02 20:45,0.341
,2017-01-02 21:00,0.341
,2017-01-02 21:15,0.341
,2017-01-02 21:30,0.341
,2017-01-02 21:45,0.341
,2017-01-02 22:00,0.341
,2017-01-02 22:15,0.341
,2017-01-02 22:30,0.341
,2017-01-02 22:45,0.341
,2017-01-02 23:00,0.341
,2017-01-02 23:15,0.341
