@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 00:15,2.061
,2017-01-01 00:30,2.571
,2017-01-01 00:45,2.373
,2017-01-01 01:00,2.038
,2017-01-01 01:15,2.392
,2017-01-01 01:30,2.957
,2017-01-01 01:45,2.961
,2017-01-01 02:00,2.497
,2017-01-01 02:15,1.949
,2017-01-01 02:30,2.492
,2017-01-01 02:45,2.645
,2017-01-01 03:00,1.867
,2017-01-01 03:15,2.045
,2017-01-01 03:30,2.156
,2017-01-01 03:45,2.515
,2017-01-01 04:00,2.856
,2017-01-01 04:15,2.351
,2017-01-01 04:30,2.569
,2017-01-01 04:45,2.341
,2017-01-01 05:00,2.502
,2017-01-01 05:15,2.173
,2017-01-01 05:30,1.421
,2017-01-01 05:45,1.538
,2017-01-01 06:00,1.704
,2017-01-01 06:15,1.588
,2017-01-01 06:30,2.008
,2017-01-01 06:45,2.325
,2017-01-01 07:00,1.927
,2017-01-01 07:15,2.084
,2017-01-01 07:30,2.076
,2017-01-01 07:45,2.219
,2017-01-01 08:00,2.245
,2017-01-01 08:15,1.893
,2017-01-01 08:30,2.224
,2017-01-01 08:45,2.221
,2017-01-01 09:00,2.433
,2017-01-01 09:15,1.81
,2017-01-01 09:30,1.363
,2017-01-01 09:45,0.553
,2017-01-01 10:00,0.699
,2017-01-01 10:15,0.567
,2017-01-01 10:30,0.755
,2017-01-01 10:45,0.778
,2017-01-01 11:00,0.939
,2017-01-01 11:15,0.863
,2017-01-01 11:30,1.135
,2017-01-01 11:45,1.191
,2017-01-01 12:00,1.119
,2017-01-01 12:15,1.652
,2017-01-01 12:30,1.604
,2017-01-01 12:45,1.485
,2017-01-01 13:00,1.282
,2017-01-01 13:15,1.149
,2017-01-01 13:30,1.449
,2017-01-01 13:45,1.651
,2017-01-01 14:00,1.403
,2017-01-01 14:15,1.625
,2017-01-01 14:30,1.439
,2017-01-01 14:45,1.489
,2017-01-01 15:00,1.319
,2017-01-01 15:15,1.049
,2017-01-01 15:30,1.157
,2017-01-01 15:45,0.73
,2017-01-01 16:00,0.749
,2017-01-01 16:15,1.174
,2017-01-01 16:30,1.147
,2017-01-01 16:45,1.214
,2017-01-01 17:00,1.899
,2017-01-01 17:15,2.189
,2017-01-01 17:30,2.525
,2017-01-01 17:45,2.435
,2017-01-01 18:00,2.419
,2017-01-01 18:15,2.167
,2017-01-01 18:30,2.397
,2017-01-01 18:45,2.202
,2017-01-01 19:00,2.245
,2017-01-01 19:15,2.623
,2017-01-01 19:30,2.674
,2017-01-01 19:45,2.398
,2017-01-01 20:00,2.247
,2017-01-01 20:15,2.341
,2017-01-01 20:30,2.302
,2017-01-01 20:45,2.515
,2017-01-01 21:00,2.341
,2017-01-01 21:15,2.59
,2017-01-01 21:30,2.152
,2017-01-01 21:45,2.351
,2017-01-01 22:00,1.813
,2017-01-01 22:15,2.197
,2017-01-01 22:30,2.404
,2017-01-01 22:45,1.853
,2017-01-01 23:00,1.821
,2017-01-01 23:15,2.05
,2017-01-01 23:30,2.193
,2017-01-01 23:45,2.404
,2017-01-02 00:00,2.153
,2017-01-02 00:15,2.091
,2017-01-02 00:30,2.025
,2017-01-02 00:45,1.461
,2017-01-02 01:00,1.225
,2017-01-02 01:15,1.531
,2017-01-02 01:30,1.799
,2017-01-02 01:45,1.341
,2017-01-02 02:00,1.543
,2017-01-02 02:15,1.701
,2017-01-02 02:30,1.814
,2017-01-02 02:45,2.173
,2017-01-02 03:00,1.661
,2017-01-02 03:15,1.786
,2017-01-02 03:30,1.968
,2017-01-02 03:45,1.864
,2017-01-02 04:00,1.893
,2017-01-02 04:15,1.608
,2017-01-02 04:30,2.174
,2017-01-02 04:45,2.048
,2017-01-02 05:00,1.814
,2017-01-02 05:15,2.205
,2017-01-02 05:30,2.144
,2017-01-02 05:45,1.859
,2017-01-02 06:00,1.545
,2017-01-02 06:15,1.654
,2017-01-02 06:30,1.642
,2017-01-02 06:45,1.309
,2017-01-02 07:00,1.159
,2017-01-02 07:15,1.173
,2017-01-02 07:30,1.141
,2017-01-02 07:45,0.817
,2017-01-02 08:00,1.247
,2017-01-02 08:15,1.369
,2017-01-02 08:30,1.358
,2017-01-02 08:45,1.386
,2017-01-02 09:00,1.41
,2017-01-02 09:15,1.243
,2017-01-02 09:30,0.609
,2017-01-02 09:45,0.491
,2017-01-02 10:00,0.771
,2017-01-02 10:15,1.423
,2017-01-02 10:30,0.917
,2017-01-02 10:45,0.747
,2017-01-02 11:00,0.809
,2017-01-02 11:15,1.247
,2017-01-02 11:30,1.222
,2017-01-02 11:45,1.012
,2017-01-02 12:00,1.085
,2017-01-02 12:15,1.282
,2017-01-02 12:30,1.533
,2017-01-02 12:45,1.371
,2017-01-02 13:00,1.593
,2017-01-02 13:15,1.411
,2017-01-02 13:30,1.387
,2017-01-02 13:45,1.386
,2017-01-02 14:00,1.121
,2017-01-02 14:15,1.022
,2017-01-02 14:30,0.772
,2017-01-02 14:45,0.776
,2017-01-02 15:00,0.603
,2017-01-02 15:15,1.147
,2017-01-02 15:30,0.975
,2017-01-02 15:45,0.626
,2017-01-02 16:00,1.038
,2017-01-02 16:15,1.241
,2017-01-02 16:30,1.332
,2017-01-02 16:45,1.445
,2017-01-02 17:00,1.647
,2017-01-02 17:15,1.901
,2017-01-02 17:30,1.345
,2017-01-02 17:45,1.508
,2017-01-02 18:00,1.352
,2017-01-02 18:15,1.261
,2017-01-02 18:30,1.759
,2017-01-02 18:45,1.989
,2017-01-02 19:00,2.715
,2017-01-02 19:15,4.292
,2017-01-02 19:30,3.906
,2017-01-02 19:45,5.475
,2017-01-02 20:00,5.633
,2017-01-02 20:15,6.053
,2017-01-02 20:30,5.995
,2017-01-02 20:45,5.953
,2017-01-02 21:00,5.925
,2017-01-02 21:15,6.434
,2017-01-02 21:30,4.721
,2017-01-02 21:45,4.068
,2017-01-02 22:00,4.451
,2017-01-02 22:15,3.499
,2017-01-02 22:30,4.285
,2017-01-02 22:45,3.798
,2017-01-02 23:00,3.999
,2017-01-02 23:15,3.47
