@T,table
Created,2020-01-09 22:07
Author,HortonMachine library
@H,timestamp,value_4
ID,,4
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2012-07-15 00:30,0.0
,2012-07-15 01:00,0.0
,2012-07-15 01:30,0.0
,2012-07-15 02:00,0.0
,2012-07-15 02:30,0.0
,2012-07-15 03:00,0.0
,2012-07-15 03:30,0.0
,2012-07-15 04:00,0.0
,2012-07-15 04:30,0.0
,2012-07-15 05:00,2.5035092372742658
,2012-07-15 05:30,-9999
,2012-07-15 06:00,-9999
,2012-07-15 06:30,-9999
,2012-07-15 07:00,-9999
,2012-07-15 07:30,-9999
,2012-07-15 08:00,501.6520528008894
,2012-07-15 08:30,596.1097424311105
,2012-07-15 09:00,105.38031908012059
,2012-07-15 09:30,-9999
,2012-07-15 10:00,-9999
,2012-07-15 10:30,555.9193864880075
,2012-07-15 11:00,655.9682019328299
,2012-07-15 11:30,704.7493420452698
,2012-07-15 12:00,711.4321785006948
,2012-07-15 12:30,496.4665278030751
,2012-07-15 13:00,714.4929039446631
,2012-07-15 13:30,398.9681805301659
,2012-07-15 14:00,-9999
,2012-07-15 14:30,-9999
,2012-07-15 15:00,-9999
,2012-07-15 15:30,423.6012624759015
,2012-07-15 16:00,495.4047657484999
,2012-07-15 16:30,411.9872885674486
,2012-07-15 17:00,234.56689531396273
,2012-07-15 17:30,201.770679921097
,2012-07-15 18:00,123.26938925721437
,2012-07-15 18:30,29.357738665715804
,2012-07-15 19:00,1.9166828729063297
,2012-07-15 19:30,-9999
,2012-07-15 20:00,-9999
,2012-07-15 20:30,0.0
,2012-07-15 21:00,0.0
,2012-07-15 21:30,0.0
,2012-07-15 22:00,0.0
,2012-07-15 22:30,0.0
,2012-07-15 23:00,0.0
,2012-07-15 23:30,0.0

