@T,table
Created,2018-10-01 13:00
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2016-06-15 00:00,0.0
,2016-06-15 01:00,0.0
,2016-06-15 02:00,0.0
,2016-06-15 03:00,0.0
,2016-06-15 04:00,4.008
,2016-06-15 05:00,94.403
,2016-06-15 06:00,253.078
,2016-06-15 07:00,448.795
,2016-06-15 08:00,618.665
,2016-06-15 09:00,753.705
,2016-06-15 10:00,847.555
,2016-06-15 11:00,848.522
,2016-06-15 12:00,842.026
,2016-06-15 13:00,690.539
,2016-06-15 14:00,538.084
,2016-06-15 15:00,168.35
,2016-06-15 16:00,176.505
,2016-06-15 17:00,215.206
,2016-06-15 18:00,91.777
,2016-06-15 19:00,22.668
,2016-06-15 20:00,0.0
,2016-06-15 21:00,0.0
,2016-06-15 22:00,0.0
,2016-06-15 23:00,0.0
,2016-06-16 00:00,0.0
,2016-06-16 01:00,0.0
,2016-06-16 02:00,0.0
,2016-06-16 03:00,0.0
,2016-06-16 04:00,0.0
,2016-06-16 05:00,31.652
,2016-06-16 06:00,98.135
,2016-06-16 07:00,182.31
,2016-06-16 08:00,487.358
,2016-06-16 09:00,627.511
,2016-06-16 10:00,756.192
,2016-06-16 11:00,904.915
,2016-06-16 12:00,886.118
,2016-06-16 13:00,882.524
,2016-06-16 14:00,687.498
,2016-06-16 15:00,571.809
,2016-06-16 16:00,283.071
,2016-06-16 17:00,194.197
,2016-06-16 18:00,141.674
,2016-06-16 19:00,14.236
,2016-06-16 20:00,0.0
,2016-06-16 21:00,0.0
,2016-06-16 22:00,0.0
,2016-06-16 23:00,0.0
,2016-06-17 00:00,0.0
,2016-06-17 01:00,0.0
,2016-06-17 02:00,0.0
,2016-06-17 03:00,0.0
,2016-06-17 04:00,1.382
,2016-06-17 05:00,114.307
,2016-06-17 06:00,286.941
,2016-06-17 07:00,481.138
,2016-06-17 08:00,645.203
,2016-06-17 09:00,778.722
,2016-06-17 10:00,875.613
,2016-06-17 11:00,938.088
,2016-06-17 12:00,924.819
,2016-06-17 13:00,907.127
,2016-06-17 14:00,827.098
,2016-06-17 15:00,710.857
,2016-06-17 16:00,556.882
,2016-06-17 17:00,355.083
,2016-06-17 18:00,204.01
,2016-06-17 19:00,42.709
,2016-06-17 20:00,0.0
,2016-06-17 21:00,0.0
,2016-06-17 22:00,0.0
,2016-06-17 23:00,0.0
,2016-06-18 00:00,0.0
,2016-06-18 01:00,0.0
,2016-06-18 02:00,0.0
,2016-06-18 03:00,0.0
,2016-06-18 04:00,7.878
,2016-06-18 05:00,119.835
,2016-06-18 06:00,293.852
,2016-06-18 07:00,468.837
,2016-06-18 08:00,634.284
,2016-06-18 09:00,759.51
,2016-06-18 10:00,863.865
,2016-06-18 11:00,655.984
,2016-06-18 12:00,686.392
,2016-06-18 13:00,564.484
,2016-06-18 14:00,317.211
,2016-06-18 15:00,407.882
,2016-06-18 16:00,395.443
,2016-06-18 17:00,334.488
,2016-06-18 18:00,128.819
,2016-06-18 19:00,68.418
,2016-06-18 20:00,0.0
,2016-06-18 21:00,0.0
,2016-06-18 22:00,0.0
,2016-06-18 23:00,0.0
,2016-06-19 00:00,0.553
,2016-06-19 01:00,0.0
,2016-06-19 02:00,0.0
,2016-06-19 03:00,0.0
,2016-06-19 04:00,2.626
,2016-06-19 05:00,28.888
,2016-06-19 06:00,47.685
,2016-06-19 07:00,40.083
,2016-06-19 08:00,37.181
,2016-06-19 09:00,68.556
,2016-06-19 10:00,147.203
,2016-06-19 11:00,142.641
,2016-06-19 12:00,153.561
,2016-06-19 13:00,296.478
,2016-06-19 14:00,868.979
,2016-06-19 15:00,630.69
,2016-06-19 16:00,539.743
,2016-06-19 17:00,283.071
,2016-06-19 18:00,47.409
,2016-06-19 19:00,6.634
,2016-06-19 20:00,0.0
,2016-06-19 21:00,0.0
,2016-06-19 22:00,0.0
,2016-06-19 23:00,0.0
,2016-06-20 00:00,2.764
,2016-06-20 01:00,0.0
,2016-06-20 02:00,0.0
,2016-06-20 03:00,0.0
,2016-06-20 04:00,3.732
,2016-06-20 05:00,30.961
,2016-06-20 06:00,229.581
,2016-06-20 07:00,229.028
,2016-06-20 08:00,618.527
,2016-06-20 09:00,690.953
,2016-06-20 10:00,651.838
,2016-06-20 11:00,532.97
,2016-06-20 12:00,696.482
,2016-06-20 13:00,613.137
,2016-06-20 14:00,556.191
,2016-06-20 15:00,587.151
,2016-06-20 16:00,435.388
,2016-06-20 17:00,345.131
,2016-06-20 18:00,194.888
,2016-06-20 19:00,30.408
,2016-06-20 20:00,0.0
,2016-06-20 21:00,0.0
,2016-06-20 22:00,0.0
,2016-06-20 23:00,0.0
,2016-06-21 00:00,0.0
,2016-06-21 01:00,0.0
,2016-06-21 02:00,0.0
,2016-06-21 03:00,0.0
,2016-06-21 04:00,0.0
,2016-06-21 05:00,65.93
,2016-06-21 06:00,152.593
,2016-06-21 07:00,334.903
,2016-06-21 08:00,612.169
,2016-06-21 09:00,737.948
,2016-06-21 10:00,848.937
,2016-06-21 11:00,847.002
,2016-06-21 12:00,853.498
,2016-06-21 13:00,790.332
,2016-06-21 14:00,722.191
,2016-06-21 15:00,664.692
,2016-06-21 16:00,555.914
,2016-06-21 17:00,344.717
,2016-06-21 18:00,117.762
,2016-06-21 19:00,11.749
,2016-06-21 20:00,0.0
,2016-06-21 21:00,0.0
,2016-06-21 22:00,0.0
,2016-06-21 23:00,0.0
,2016-06-22 00:00,0.0
,2016-06-22 01:00,0.0
,2016-06-22 02:00,0.0
,2016-06-22 03:00,0.0
,2016-06-22 04:00,0.0
,2016-06-22 05:00,49.759
,2016-06-22 06:00,173.464
,2016-06-22 07:00,410.785
,2016-06-22 08:00,576.647
,2016-06-22 09:00,727.028
,2016-06-22 10:00,827.098
,2016-06-22 11:00,882.939
,2016-06-22 12:00,795.861
,2016-06-22 13:00,898.696
,2016-06-22 14:00,683.628
,2016-06-22 15:00,667.18
,2016-06-22 16:00,527.994
,2016-06-22 17:00,287.909
,2016-06-22 18:00,181.342
,2016-06-22 19:00,37.457
,2016-06-22 20:00,0.968
